,Open,High,Low,Close,Volume,datetime
0,309.47,309.8,309.3,309.791,10250,2026-08-26 11:00:00
0,82.06,82.11,82.03,82.0628,11938,2026-08-26 11:00:00
0,577.85,579.3,576.68,579.25,103613,2026-08-26 11:00:00
0,349.92,350.5,349.69,349.82,21438,2026-08-26 11:00:00
0,213.88,214.03,213.43,213.5891,263818,2026-08-26 11:00:00
0,62.0,62.15,62.0,62.15,992,2026-08-26 11:00:00
0,261.1947,261.65,261.08,261.61,24323,2026-08-26 11:00:00
0,346.84,347.5,346.84,347.23,8707,2026-08-26 11:00:00
0,488.4,489.0,487.75,488.205,11414,2026-08-26 11:00:00
0,268.0,268.0,265.545,266.99,13266,2026-08-26 11:00:00
1,82.1,82.28,82.09,82.1876,11884,2026-08-26 11:30:00
1,309.65,309.95,309.6004,309.8888,14961,2026-08-26 11:30:00
1,267.6121,267.6121,266.84,266.9997,1081,2026-08-26 11:30:00
1,62.1259,62.15,62.1137,62.1137,1122,2026-08-26 11:30:00
1,488.46,488.46,487.6,488.1793,6843,2026-08-26 11:30:00
1,579.22,579.64,577.0,578.11,54902,2026-08-26 11:30:00
1,349.96,350.0,348.41,349.2,43857,2026-08-26 11:30:00
1,347.32,347.39,346.9601,347.0,5945,2026-08-26 11:30:00
1,213.57,213.62,212.4514,213.0,357996,2026-08-26 11:30:00
1,261.7122,261.75,261.26,261.51,21073,2026-08-26 11:30:00
2,347.15,347.15,346.76,347.1,11713,2026-08-26 12:00:00
2,82.2,82.2,82.06,82.15,21094,2026-08-26 12:00:00
2,488.16,489.47,488.0,489.4635,8211,2026-08-26 12:00:00
2,578.11,580.37,577.0,580.295,86697,2026-08-26 12:00:00
2,309.8392,310.54,309.81,310.54,42351,2026-08-26 12:00:00
2,261.5,261.94,260.408,261.85,12012,2026-08-26 12:00:00
2,266.92,267.79,266.4839,267.6,5355,2026-08-26 12:00:00
2,349.25,349.9,348.95,349.9,26625,2026-08-26 12:00:00
2,213.01,213.3,212.5893,213.3,202007,2026-08-26 12:00:00
2,62.12,62.15,62.1,62.1119,1424,2026-08-26 12:00:00
3,347.15,347.15,346.01,346.03,14432,2026-08-26 12:30:00
3,267.34,267.4,266.07,266.28,2541,2026-08-26 12:30:00
3,349.92,349.92,346.96,347.0,97693,2026-08-26 12:30:00
3,310.54,310.76,310.11,310.34,40067,2026-08-26 12:30:00
3,82.17,82.4591,82.0871,82.42,44452,2026-08-26 12:30:00
3,580.33,593.0,579.85,590.22,379127,2026-08-26 12:30:00
3,261.95,261.95,261.02,261.14,25843,2026-08-26 12:30:00
3,489.5,489.5,488.04,488.47,11919,2026-08-26 12:30:00
3,62.1,62.1,62.05,62.07,3606,2026-08-26 12:30:00
3,213.3,213.34,212.36,212.49,364614,2026-08-26 12:30:00
4,266.45,266.53,264.6311,266.53,3484,2026-08-26 13:00:00
4,82.36,82.75,81.6803,81.86,148809,2026-08-26 13:00:00
4,261.3,261.71,260.9,261.3,29318,2026-08-26 13:00:00
4,591.6261,598.44,588.0,590.35,1322860,2026-08-26 13:00:00
4,62.0,62.0,61.6849,61.76,30289,2026-08-26 13:00:00
4,346.88,347.4636,345.05,345.23,157725,2026-08-26 13:00:00
4,346.02,347.89,346.0,346.63,102590,2026-08-26 13:00:00
4,212.51,213.37,212.14,212.64,419203,2026-08-26 13:00:00
4,488.07,488.88,487.16,487.62,24631,2026-08-26 13:00:00
4,310.3,310.37,309.35,310.24,46404,2026-08-26 13:00:00
5,345.27,351.93,342.53,348.8862,4989644,2026-08-26 13:30:00
5,265.19,273.9756,265.035,272.41,324223,2026-08-26 13:30:00
5,82.05,82.42,81.295,81.43,3736977,2026-08-26 13:30:00
5,590.31,593.34,561.88,572.4,7013440,2026-08-26 13:30:00
5,212.64,213.6,210.7801,212.67,10349746,2026-08-26 13:30:00
5,310.25,312.7,308.8001,312.5,2664345,2026-08-26 13:30:00
5,487.85,497.1399,487.31,495.215,1737390,2026-08-26 13:30:00
5,261.34,262.05,259.375,260.895,1869307,2026-08-26 13:30:00
5,346.63,346.88,343.1,343.87,2037235,2026-08-26 13:30:00
5,61.825,61.86,61.26,61.47,700272,2026-08-26 13:30:00
6,572.385,575.96,564.3101,574.0924,2650583,2026-08-26 14:00:00
6,349.02,349.66,345.5501,346.25,1851537,2026-08-26 14:00:00
6,272.49,273.37,270.77,271.045,157191,2026-08-26 14:00:00
6,61.47,62.045,61.41,61.71,516594,2026-08-26 14:00:00
6,495.17,496.74,492.95,493.686,1122962,2026-08-26 14:00:00
6,260.845,261.22,258.88,259.06,1094671,2026-08-26 14:00:00
6,212.64,212.67,210.1932,210.5026,6435431,2026-08-26 14:00:00
6,81.44,82.22,81.36,82.125,1385853,2026-08-26 14:00:00
6,343.87,344.13,341.519,342.28,1295010,2026-08-26 14:00:00
6,312.465,313.4199,311.65,311.795,1805908,2026-08-26 14:00:00
7,311.8,312.865,311.66,312.8,1062538,2026-08-26 14:30:00
7,342.29,343.19,341.45,343.03,776912,2026-08-26 14:30:00
7,574.075,587.46,570.75,584.89,2878059,2026-08-26 14:30:00
7,82.125,82.2,81.86,81.92,897973,2026-08-26 14:30:00
7,270.94,272.1,270.51,271.37,130236,2026-08-26 14:30:00
7,493.65,495.63,493.34,495.23,598943,2026-08-26 14:30:00
7,210.4901,211.4,210.08,211.155,5429997,2026-08-26 14:30:00
7,259.06,260.4921,258.78,260.295,963586,2026-08-26 14:30:00
7,346.25,347.23,343.28,343.55,1925807,2026-08-26 14:30:00
7,61.7,61.82,61.65,61.77,292141,2026-08-26 14:30:00
8,343.01,343.455,342.58,342.82,591043,2026-08-26 15:00:00
8,343.514,345.28,343.06,343.9,1835638,2026-08-26 15:00:00
8,312.825,313.45,312.46,312.52,1101265,2026-08-26 15:00:00
8,211.16,211.53,210.59,211.082675,4100343,2026-08-26 15:00:00
8,81.925,81.9251,81.58,81.82,928902,2026-08-26 15:00:00
8,584.89,588.77,581.51,582.62,2299044,2026-08-26 15:00:00
8,260.3,261.12,259.93,260.166,718953,2026-08-26 15:00:00
8,495.3,495.6,494.598,494.995,595774,2026-08-26 15:00:00
8,61.78,61.83,61.68,61.81,294899,2026-08-26 15:00:00
8,271.31,271.35,270.15,270.385,110775,2026-08-26 15:00:00
9,270.38,271.36,269.6201,269.74,149335,2026-08-26 15:30:00
9,81.8191,81.835,81.59,81.65,572991,2026-08-26 15:30:00
9,312.52,313.62,312.18,312.94,1126311,2026-08-26 15:30:00
9,343.85,344.84,343.21,344.37,1378933,2026-08-26 15:30:00
9,61.8,61.925,61.735,61.805,311605,2026-08-26 15:30:00
9,582.5,582.84,575.15,576.09,1347787,2026-08-26 15:30:00
9,342.84,342.84,341.41,341.43,705726,2026-08-26 15:30:00
9,211.08,211.43,210.6,210.615,3125559,2026-08-26 15:30:00
9,494.995,495.53,493.91,494.089,436111,2026-08-26 15:30:00
9,260.175,260.29,258.6,258.64,768461,2026-08-26 15:30:00
10,494.0,494.9199,493.74,493.8817,347930,2026-08-26 16:00:00
10,344.355,344.71,343.4,344.09,973506,2026-08-26 16:00:00
10,258.62,258.82,258.35,258.507,659168,2026-08-26 16:00:00
10,269.74,270.68,269.5401,270.51,98531,2026-08-26 16:00:00
10,312.9,313.95,312.37,313.2947,1067836,2026-08-26 16:00:00
10,81.65,81.73,81.45,81.515,804514,2026-08-26 16:00:00
10,210.615,210.66,209.76,210.175,4962396,2026-08-26 16:00:00
10,61.805,61.89,61.71,61.75,333378,2026-08-26 16:00:00
10,576.0,579.16,574.21,576.755,883911,2026-08-26 16:00:00
10,341.43,341.75,340.53,340.61,530471,2026-08-26 16:00:00
11,493.865,494.4,493.5503,494.18,397796,2026-08-26 16:30:00
11,61.75,61.89,61.7,61.79,278842,2026-08-26 16:30:00
11,270.51,271.51,270.45,270.75,86008,2026-08-26 16:30:00
11,210.175,210.32,209.47,209.875,4450204,2026-08-26 16:30:00
11,340.625,340.95,340.18,340.735,580899,2026-08-26 16:30:00
11,576.81,577.9,574.8,575.89,566816,2026-08-26 16:30:00
11,258.48,258.82,258.24,258.74,484968,2026-08-26 16:30:00
11,313.305,313.48,312.5,313.03,810019,2026-08-26 16:30:00
11,81.51,81.71,81.45,81.605,769759,2026-08-26 16:30:00
11,344.0601,345.3,343.98,345.1,1024269,2026-08-26 16:30:00
12,575.78,579.16,574.771876,578.29,658883,2026-08-26 17:00:00
12,313.025,313.27,312.53,313.135,809804,2026-08-26 17:00:00
12,258.73,259.38,258.69,259.32,529765,2026-08-26 17:00:00
12,494.11,494.75,493.78,494.74,329876,2026-08-26 17:00:00
12,345.1,346.88,344.74,346.79,1395704,2026-08-26 17:00:00
12,61.79,61.925,61.79,61.845,803740,2026-08-26 17:00:00
12,81.605,81.835,81.52,81.7902,588784,2026-08-26 17:00:00
12,270.75,271.475,270.6,271.27,68232,2026-08-26 17:00:00
12,209.87,210.25,209.71,210.065,3608230,2026-08-26 17:00:00
12,340.71,341.725,340.62,341.4184,461185,2026-08-26 17:00:00
13,494.745,495.05,493.565,494.33,324495,2026-08-26 17:30:00
13,81.785,81.93,81.75,81.813968,637209,2026-08-26 17:30:00
13,259.34,259.34,258.45,258.655,618232,2026-08-26 17:30:00
13,313.155,313.25,312.6501,312.94,605419,2026-08-26 17:30:00
13,578.28,578.92,577.0,578.0496,607614,2026-08-26 17:30:00
13,341.425,341.83,341.39,341.54,416684,2026-08-26 17:30:00
13,210.06,210.64,209.9,210.56,4275433,2026-08-26 17:30:00
13,271.305,272.08,271.15,271.915,44311,2026-08-26 17:30:00
13,61.845,61.895,61.72,61.85,384843,2026-08-26 17:30:00
13,346.79,346.93,346.16,346.62,791306,2026-08-26 17:30:00
14,578.32,579.08,576.41,577.865,577859,2026-08-26 18:00:00
14,341.55,341.93,341.365,341.4815,374180,2026-08-26 18:00:00
14,346.615,346.7,344.4406,344.8181,1131921,2026-08-26 18:00:00
14,494.365,494.81,494.2,494.38,304499,2026-08-26 18:00:00
14,258.67,259.09,258.66,258.81,636738,2026-08-26 18:00:00
14,81.815,81.955,81.73,81.855,600576,2026-08-26 18:00:00
14,210.555,210.915,210.15,210.785,4078205,2026-08-26 18:00:00
14,312.95,313.18,312.73,313.0499,639519,2026-08-26 18:00:00
14,271.88,273.1,271.76,272.98,61198,2026-08-26 18:00:00
14,61.86,62.01,61.84,61.92,446028,2026-08-26 18:00:00
15,258.8,259.355,258.78,259.3,584052,2026-08-26 18:30:00
15,344.8009,346.41,344.75,346.1371,904049,2026-08-26 18:30:00
15,81.85,81.925,81.7,81.9,518560,2026-08-26 18:30:00
15,341.48,341.92,341.235,341.75,371626,2026-08-26 18:30:00
15,210.785,211.17,210.49,211.055,5172430,2026-08-26 18:30:00
15,61.925,62.03,61.84,61.935,213880,2026-08-26 18:30:00
15,494.355,494.92,493.92,494.8575,396215,2026-08-26 18:30:00
15,272.955,273.34,272.5,272.87,54296,2026-08-26 18:30:00
15,313.03,315.1,312.95,314.565,1719462,2026-08-26 18:30:00
15,577.805,580.9235,577.765,578.825,705962,2026-08-26 18:30:00
16,494.87,496.6,494.82,496.1,521137,2026-08-26 19:00:00
16,259.3,260.37,259.28,259.83,895263,2026-08-26 19:00:00
16,341.755,342.05,341.26,341.3,531157,2026-08-26 19:00:00
16,314.57,315.25,314.44,314.8446,1564048,2026-08-26 19:00:00
16,346.115,347.44,344.96,345.6201,1547345,2026-08-26 19:00:00
16,61.93,62.045,61.9139,61.9536,251383,2026-08-26 19:00:00
16,578.75,580.84,576.81,577.05,628143,2026-08-26 19:00:00
16,211.0506,211.33,210.74,210.89,5710509,2026-08-26 19:00:00
16,272.82,274.35,272.67,273.57,160857,2026-08-26 19:00:00
16,81.8998,81.935,81.725,81.725,555907,2026-08-26 19:00:00
17,259.83,260.75,259.765,260.28,1657301,2026-08-26 19:30:00
17,341.3,342.72,341.27,342.06,1418258,2026-08-26 19:30:00
17,577.07,578.65,575.81,576.11,1362986,2026-08-26 19:30:00
17,81.725,81.87,81.315,81.47,2142399,2026-08-26 19:30:00
17,210.895,210.995,209.23,209.95,14996553,2026-08-26 19:30:00
17,61.95,62.06,61.81,61.82,719611,2026-08-26 19:30:00
17,273.57,274.6,273.15,273.38,289386,2026-08-26 19:30:00
17,314.86,315.43,313.18,313.48,3313243,2026-08-26 19:30:00
17,496.09,497.4,495.8,496.36,1321501,2026-08-26 19:30:00
17,345.66,346.88,345.25,345.88,1800015,2026-08-26 19:30:00
18,209.96,211.5,203.5,207.008,22280479,2026-08-26 20:00:00
18,313.45,314.44,313.1887,313.6,6225041,2026-08-26 20:00:00
18,342.06,342.43,341.61,341.9416,3062272,2026-08-26 20:00:00
18,576.04,576.43,569.94,575.27,1304528,2026-08-26 20:00:00
18,81.46,81.7709,81.33,81.46,2771864,2026-08-26 20:00:00
18,345.87,346.25,345.0,345.7514,2471388,2026-08-26 20:00:00
18,61.81,61.88,61.681,61.84,1269198,2026-08-26 20:00:00
18,496.37,498.75,495.75,497.28,3984957,2026-08-26 20:00:00
18,260.28,260.64,259.46,260.0,3172584,2026-08-26 20:00:00
18,273.47,280.0,273.47,279.25,402450,2026-08-26 20:00:00
19,497.39,498.25,497.24,497.5899,32989,2026-08-26 20:30:00
19,207.0113,210.66,205.26,210.5,5370564,2026-08-26 20:30:00
19,81.58,81.6996,81.463,81.521,15549,2026-08-26 20:30:00
19,279.0,280.35,278.0,280.35,15499,2026-08-26 20:30:00
19,61.81,61.81,61.65,61.65,1300,2026-08-26 20:30:00
19,345.66,346.98,345.32,346.69,48519,2026-08-26 20:30:00
19,260.0,260.4304,259.958,260.31,18600,2026-08-26 20:30:00
19,341.7283,342.3099,341.32,342.3099,13822,2026-08-26 20:30:00
19,575.0,575.75,574.5,575.75,29564,2026-08-26 20:30:00
19,313.55,313.58,313.0,313.2594,60435,2026-08-26 20:30:00
20,313.28,313.45,311.11,312.6,126117,2026-08-26 21:00:00
20,260.2,262.8999,259.61,262.43,385864,2026-08-26 21:00:00
20,81.5,81.61,80.9,81.08,56467,2026-08-26 21:00:00
20,342.2007,342.5,340.68,341.71,47741,2026-08-26 21:00:00
20,210.461,220.26,208.46,217.39,16738198,2026-08-26 21:00:00
20,575.7,577.6,574.8091,577.6,47610,2026-08-26 21:00:00
20,346.686,347.25,345.35,346.96,80214,2026-08-26 21:00:00
20,497.58,497.7264,494.76,496.75,47493,2026-08-26 21:00:00
20,61.66,61.68,61.57,61.57,17490,2026-08-26 21:00:00
20,280.2749,280.7,277.0,278.0,8073,2026-08-26 21:00:00
21,278.3274,278.3274,277.034,277.25,1721,2026-08-26 21:30:00
21,262.3146,262.8999,262.02,262.3961,153930,2026-08-26 21:30:00
